Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,     23,    23.00, Query.fromType(org.jboss.windup.graph.model.resource.FileModel).as(default)
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,BootsFaces (embedded)).as(default)"
   303,     43,     0.14, TypeInterestFactory.matchesAny(text).manualSearch
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.6.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(fileName,EQUALS,ibm-ejb-jar-bnd.xmi).has(rootTagName,EQUALS,EJBJarBinding).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JCache (embedded)).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,MapR (embedded)).as(default)"
   478,     51,     0.11, TypeInterestFactory.matchesAny(text)
   380,     62,     0.16, GraphService.findAllByProperty(name)
     1,      1,     1.00, "Query.fromType(org.jboss.windup.rules.apps.xml.model.XmlFileModel).gremlin().has(rootTagName,EQUALS,orion-ejb-jar).as(default)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,ServiceMix (embedded)).as(default)"
     1,      0,     0.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[ANNOTATION]).as(88356972-55ec-49df-b858-d82b84ad77e5)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.java.ip.HardcodedIPLocationModel).as(default)
     1,     29,    29.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.16.html)"
    88,      4,     0.05, fileModelToSourceReport
    16,      0,     0.00, getEffortDescriptionForPoints
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KouInject (embedded)).as(default)"
     1,      0,     0.00, sortApplicationsList
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cucumber (embedded)).as(default)"
     1,     48,    48.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.7.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JPAPersistenceUnitModel).as(default)
     1,     36,    36.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.71.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Restito (embedded)).as(default)"
     1,      4,     4.00, "Query.fromType(org.jboss.windup.rules.apps.java.model.JarArchiveModel).gremlin().has(fileName,REGEX,.*memcached.*\.jar$).as(default)"
     1,      1,     1.00, "Query.gremlin().has(referenceType,CONTAINS_ANY_TOKEN,[ANNOTATION]).as(0e37145e-f063-4e29-b316-7363a688066b)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WF Core JTA (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OACC (embedded)).as(default)"
